Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
0, 0.19737762716597307, 0.4376, 1.8575390577316284, 1.277841329574585
1, 0.30448151763570497, 0.54912, 1.4378570318222046, 1.1488789319992065
2, 0.39763123591018185, 0.62224, 1.2752783298492432, 0.9654916524887085
3, 0.3926827330331484, 0.616, 1.1634598970413208, 0.9921970963478088
